document_id,company,ticker,fiscal_year,filing_type,source_file,source_url
AAPL_2022_10K,Apple,AAPL,2022,10-K,AAPL_2022_10-K.pdf,
AAPL_2023_10K,Apple,AAPL,2023,10-K,AAPL_2023_10-K.pdf,
AAPL_2024_10K,Apple,AAPL,2024,10-K,AAPL_2024_10-K.pdf,
MSFT_2022_10K,Microsoft,MSFT,2022,10-K,MSFT_2022_10-K.pdf,
MSFT_2023_10K,Microsoft,MSFT,2023,10-K,MSFT_2023_10-K.pdf,
MSFT_2024_10K,Microsoft,MSFT,2024,10-K,MSFT_2024_10-K.pdf,
GOOGL_2022_10K,Alphabet,GOOGL,2022,10-K,GOOGL_2022_10-K.pdf,
GOOGL_2023_10K,Alphabet,GOOGL,2023,10-K,GOOGL_2023_10-K.pdf,
GOOGL_2024_10K,Alphabet,GOOGL,2024,10-K,GOOGL_2024_10-K.pdf,
AMZN_2022_10K,Amazon,AMZN,2022,10-K,AMZN_2022_10-K.pdf,
AMZN_2023_10K,Amazon,AMZN,2023,10-K,AMZN_2023_10-K.pdf,
AMZN_2024_10K,Amazon,AMZN,2024,10-K,AMZN_2024_10-K.pdf,
NVDA_2022_10K,NVIDIA,NVDA,2022,10-K,NVDA_2022_10-K.pdf,
NVDA_2023_10K,NVIDIA,NVDA,2023,10-K,NVDA_2023_10-K.pdf,
NVDA_2024_10K,NVIDIA,NVDA,2024,10-K,NVDA_2024_10-K.pdf,
